,A#,D#,F,Cm7,Gm7,G#,C,A#m7,Fm7,F#,B,C#,G#m7,D#m7,E,C#m7,G,Dm7,Am7,A,D,Bm7,F#m7,Em7,A#M7,Cm,G#M7,Gm,F7,A#m,F#M7,Fm,D#7,G#m,EM7,D#m,C#7,D#M7,CM7,A#7,BM7,C#m,AM7,F#7,Dm,Am,G7,C#M7,G#7,Bm,GM7,F#m,E7,DM7,Em,A7,B7,FM7,D7,C7,Bo,Ao,Go,Eo,Co,C#o,Do,A#o,D#o,Fo,G#o,F#o,Am7 alter b5,Dm7 alter b5,Gm7 alter b5,Cm7 alter b5,F#m7 alter b5,Bm7 alter b5,A#m7 alter b5,D#m7 alter b5,Em7 alter b5,Fm7 alter b5,G#m7 alter b5,C#m7 alter b5,Fo7,D#o7,C#o7,A#o7,F#o7,Go7,G#o7,Eo7,Ao7,Bo7,Do7,Co7,F7 alter b5,D#7 alter b5,C#7 alter b5,A#7 alter b5,F#7 alter b5,G7 alter b5,G#7 alter b5,E7 alter b5,A7 alter b5,B7 alter b5,D7 alter b5,C7 alter b5,G7 add b9,F7 add b9,D#7 add b9,C7 add b9,G#7 add b9,A7 add b9,A#7 add b9,F#7 add b9,B7 add b9,C#7 add b9,E7 add b9,D7 add b9,F9,D#9,C#9,A#9,F#9,G9,G#9,E9,A9,B9,D9,C9,D#M9,CM9,BM9,G#M9,EM9,FM9,F#M9,DM9,GM9,AM9,A#M9,E#,B#m7,B#7,G#M7 alter b5,F#M7 alter b5,EM7 alter b5,CM7 alter b5,AM7 alter b5,A#M7 alter b5,BM7 alter b5,GM7 alter b5,DM7 alter b5,FM7 alter b5,D#M7 alter b5
-1,0.20030207970256766,0.2009894155545329,0.20636187435868203,0.12689841376982788,0.12876465284039676,0.20539300057372348,0.20848056537102475,0.12878228782287823,0.12754730713245996,0.2050296891372686,0.20177870177870177,0.19702970297029704,0.12937707335053447,0.12923019709929343,0.20517019534448475,0.12876220849113015,0.204,0.1292235801581596,0.13037171350861287,0.20527961097603334,0.20176354565494836,0.12860554841080288,0.1283284023668639,0.12820983125458546,0.11684558216350124,0.19558632626568584,0.1136653895274585,0.2011754068716094,0.10705233338303265,0.20149602618045817,0.1122715404699739,0.2016881386050644,0.11,0.20161290322580644,0.11956521739130435,0.1993656547349343,0.1152469577666428,0.11764705882352941,0.1255345143555284,0.1095890410958904,0.11916193801833261,0.20783564261825133,0.116804168475901,0.1089926437471851,0.20169567157518964,0.20034843205574912,0.11155086484901788,0.10620689655172413,0.10895701833483619,0.20107719928186715,0.11797511797511798,0.20053835800807537,0.10792123853900495,0.11810012836970475,0.2006269592476489,0.10838845460012027,0.10850350502895459,0.12233169129720854,0.10760998810939358,0.1043544496635775,0.0549738219895288,0.05357142857142857,0.05526315789473684,0.05420054200542006,0.04965753424657534,0.06914893617021277,0.05555555555555555,0.05511811023622047,0.05614973262032086,0.0584958217270195,0.059431524547803614,0.056,0.07874015748031496,0.0832,0.08387096774193549,0.08229813664596274,0.08333333333333333,0.08292682926829269,0.08401976935749589,0.07973421926910298,0.08051529790660225,0.08306188925081433,0.08374384236453201,0.08070175438596491,0.08333333333333333,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.047619047619047616,0.17647058823529413,0.06666666666666667,0.09090909090909091,0.07142857142857142,0.058823529411764705,0.07692307692307693,0.06666666666666667,0.058823529411764705,0.0625,0.07142857142857142,0.0625,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.014987800627396306,0.0024160147261849977,0.01083114810169878,0.010968612892338846,0.021100090171325518,0.0004589787722317843,0.0037985865724381625,0.0007380073800738007,0.001819505094614265,0.0009314239143089998,0.000924000924000924,0.0,0.0009214891264283082,0.0005578281889178133,0.0010527547081530004,0.00039864460833167234,0.018285714285714287,0.02426312005751258,0.017044424297370808,0.00289452356142179,0.03329852651119619,0.02480249862208341,0.0022189349112426036,0.015223771093176816,0.026424442609413706,0.009086975335352661,0.002554278416347382,0.030289330922242313,0.0084985835694051,0.0,0.0,0.001776988005330964,0.0013432835820895521,0.00044802867383512545,0.0004347826086956522,0.0009062075215224287,0.0017895490336435219,0.01680672268907563,0.010690287110568112,0.014287818529974959,0.0008729812309035355,0.0009555661729574773,0.0008684324793747286,0.0015012760846719712,0.025881302989736725,0.017421602787456445,0.023746701846965697,0.0,0.004207995190862639,0.018850987432675045,0.030459030459030458,0.0008972633467922835,0.01037126108522471,0.009413778348309799,0.0017913121361397223,0.00661455201443175,0.001828710758914965,0.007389162561576354,0.020808561236623068,0.010029198933604164,0.010471204188481676,0.002551020408163265,0.0,0.01084010840108401,0.0017123287671232876,0.005319148936170213,0.005291005291005291,0.0,0.008021390374331552,0.027855153203342618,0.031007751937984496,0.032,0.006299212598425197,0.0128,0.0,0.0015527950310559005,0.0016666666666666668,0.026016260162601626,0.0016474464579901153,0.0033222591362126247,0.028985507246376812,0.0,0.0180623973727422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.016265830138259555,0.005637367694431661,0.0013681450233724774,0.007424907188660142,0.006672678088367899,0.00034423407917383823,0.00026501766784452294,0.0035055350553505533,0.00363901018922853,0.001047851903597625,0.0001155001155001155,0.0,0.0016586804275709546,0.001859427296392711,0.0,0.0,0.00011428571428571428,0.0003594536304816679,0.00018132366273798732,0.0,0.00011602274045712959,0.00036744442403086535,0.0,0.00036683785766691124,0.005780346820809248,0.00043271311120726956,0.0004257130693912303,0.005877034358047016,0.0034292530192336365,0.006077606358111267,0.0013054830287206266,0.000444247001332741,0.0019402985074626865,0.0031362007168458782,0.0017391304347826088,0.002718622564567286,0.0005368647100930566,0.013445378151260505,0.0,0.005008101340403594,0.001745962461807071,0.0,0.0,0.0019516589100735625,0.0,0.0,0.0011726766344180592,0.0,0.0004508566275924256,0.0,0.0,0.0,0.00015030813166992335,0.0,0.0,0.0003006614552014432,0.0,0.00041050903119868636,0.00014863258026159333,0.0011425669671194618,0.005235602094240838,0.0,0.0,0.0,0.003424657534246575,0.015957446808510637,0.0,0.005249343832020997,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016129032258064516,0.003105590062111801,0.0,0.0,0.0,0.0,0.001610305958132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.05414197746020681,0.008168430740911182,0.07718618173526394,0.03965575430307121,0.0387736699729486,0.014687320711417097,0.00892226148409894,0.04169741697416974,0.04403202328966521,0.0033764116893701245,0.0008085008085008085,0.018481848184818482,0.003317360855141909,0.020453700260319823,0.001520645689554334,0.0007972892166633447,0.002285714285714286,0.05859094176851186,0.004351767905711695,0.002315618849137432,0.0012762501450284255,0.0031232776042623553,0.0018491124260355029,0.00293470286133529,0.08092485549132948,0.016875811337083515,0.011068539804171988,0.011754068716094032,0.04935142388549277,0.03225806451612903,0.04264577893820714,0.0368725011106175,0.019850746268656717,0.004032258064516129,0.0004347826086956522,0.006796556411418215,0.021474588403722263,0.02689075630252101,0.015271838729383017,0.04639858594785683,0.003491924923614142,0.0,0.0008684324793747286,0.002251914127007957,0.038375725122713075,0.0021777003484320556,0.02433304016417473,0.07310344827586207,0.019687406071535917,0.0013464991023339318,0.002145002145002145,0.0026917900403768506,0.005260784608447317,0.002139495079161318,0.0008956560680698612,0.005111244738424534,0.009448338921060652,0.025451559934318555,0.005053507728894174,0.01967754221150184,0.049738219895287955,0.04846938775510204,0.013157894736842105,0.005420054200542005,0.0017123287671232876,0.015957446808510637,0.026455026455026454,0.0,0.016042780748663103,0.011142061281337047,0.05167958656330749,0.016,0.009448818897637795,0.0704,0.03064516129032258,0.06677018633540373,0.0033333333333333335,0.05040650406504065,0.0016474464579901153,0.0016611295681063123,0.0,0.017915309446254073,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.005228302544440571,0.05303727565577543,0.0013681450233724774,0.03830577117786028,0.0030658250676284943,0.017670682730923693,0.0027385159010600707,0.01900369003690037,0.02237991266375546,0.009430667132378624,0.014322014322014322,0.0029702970297029703,0.023037228160707704,0.02398661212346597,0.0024564276523570006,0.009567470599960135,0.0016,0.0007189072609633358,0.0021758839528558476,0.0010420284821118443,0.0003480682213713888,0.001102333272092596,0.0022189349112426036,0.000917094644167278,0.004128819157720892,0.028991778450887063,0.04767986377181779,0.00135623869801085,0.014909795735798419,0.0070126227208976155,0.0073977371627502175,0.002221235006663705,0.021791044776119404,0.027777777777777776,0.021739130434782608,0.02401449932034436,0.01055833929849678,0.018907563025210083,0.004276114844227245,0.010163499779054353,0.027062418158009603,0.006688963210702341,0.0034737299174989146,0.008257018465695841,0.000892458723784025,0.00043554006968641115,0.0030782761653474055,0.016551724137931035,0.026299969942891493,0.0,0.000429000429000429,0.0031404217137729925,0.0015030813166992333,0.0,0.0008956560680698612,0.005862898376428142,0.016458396830234683,0.0008210180623973727,0.0038644470868014267,0.00507807540941983,0.0,0.03571428571428571,0.031578947368421054,0.01084010840108401,0.008561643835616438,0.0,0.0026455026455026454,0.0026246719160104987,0.0053475935828877,0.013927576601671309,0.0,0.037333333333333336,0.03937007874015748,0.0016,0.0032258064516129032,0.029503105590062112,0.0016666666666666668,0.0016260162601626016,0.016474464579901153,0.011627906976744186,0.00322061191626409,0.03257328990228013,0.0,0.0035087719298245615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.029162309747879634,0.04164749194661758,0.014821571086535174,0.0631117111036112,0.06402164111812443,0.006196213425129088,0.04540636042402827,0.004059040590405904,0.03220524017467249,0.0012807078821748749,0.0028875028875028877,0.0006600660066006601,0.002027276078142278,0.0026031982149497955,0.001871563925605334,0.00259118995415587,0.08811428571428571,0.055895039539899355,0.04406165004533091,0.0025471807340511753,0.00580113702285648,0.004225610876354952,0.0022189349112426036,0.07263389581804842,0.01610239471511148,0.049762007788836,0.06002554278416347,0.07775768535262206,0.03295064857611451,0.0070126227208976155,0.0008703220191470844,0.009329187027987561,0.03582089552238806,0.0031362007168458782,0.0034782608695652175,0.0009062075215224287,0.0071581961345740875,0.10966386554621849,0.08002443494196701,0.032405361614376196,0.0008729812309035355,0.0,0.0021710811984368217,0.006305359555622279,0.022757697456492636,0.012630662020905924,0.07285253591322192,0.004137931034482759,0.0034565674782085962,0.004039497307001795,0.027456027456027456,0.0008972633467922835,0.00811663911017586,0.005134788189987163,0.05553067622033139,0.032621767889356584,0.007467235598902774,0.042692939244663386,0.0156064209274673,0.06614193220769328,0.05235602094240838,0.015306122448979591,0.015789473684210527,0.04336043360433604,0.02226027397260274,0.07446808510638298,0.0026455026455026454,0.06299212598425197,0.013368983957219251,0.002785515320334262,0.023255813953488372,0.005333333333333333,0.03779527559055118,0.088,0.037096774193548385,0.007763975155279503,0.0033333333333333335,0.011382113821138212,0.0032948929159802307,0.006644518272425249,0.0853462157809984,0.0016286644951140066,0.0049261083743842365,0.06315789473684211,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.06666666666666667,0.0,0.058823529411764705,0.0,0.18181818181818182,0.0,0.0,0.07692307692307693,0.0,0.0,0.0625,0.0,0.0,0.05555555555555555,0.2,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.028349018240966656,0.05085135757017947,0.10192680424124957,0.08572392845089437,0.08872858431018936,0.06804360298336203,0.1200530035335689,0.05664206642066421,0.10116448326055313,0.0033764116893701245,0.0019635019635019634,0.009075907590759076,0.006450423884998157,0.007437709185570844,0.007018364721020002,0.0021925453458241976,0.013828571428571428,0.07278936017253775,0.12239347234814144,0.0045154567558179926,0.00568511428239935,0.004960499724416682,0.00610207100591716,0.005319148936170213,0.06606110652353427,0.12072695802682822,0.16049382716049382,0.045660036166365284,0.10317578649172507,0.03272557269752221,0.012619669277632724,0.08040870724122612,0.049402985074626864,0.0008960573476702509,0.004782608695652174,0.013140009062075216,0.005010737294201861,0.024369747899159664,0.06872327428222358,0.05553100603918103,0.0030554343081623746,0.0009555661729574773,0.006513243595310464,0.020717609968473202,0.02320392681838465,0.10757839721254356,0.02037525652301378,0.07310344827586207,0.058160504959422904,0.0008976660682226212,0.010296010296010296,0.004037685060565276,0.01442958064031264,0.0038510911424903724,0.00761307657859382,0.012026458208057728,0.012039012496190186,0.14573070607553365,0.05989892984542212,0.10676653548305193,0.002617801047120419,0.08163265306122448,0.010526315789473684,0.11653116531165311,0.03595890410958904,0.010638297872340425,0.026455026455026454,0.02099737532808399,0.10962566844919786,0.0,0.015503875968992248,0.16,0.16692913385826771,0.056,0.14193548387096774,0.07142857142857142,0.10833333333333334,0.008130081300813009,0.008237232289950576,0.009966777408637873,0.01288244766505636,0.006514657980456026,0.011494252873563218,0.0,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.23529411764705882,0.0,0.0,0.0,0.0625,0.0,0.125,0.05555555555555555,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21212121212121213,0.030303030303030304,0.0,0.15151515151515152,0.06060606060606061,0.0,0.030303030303030304,0.0,0.030303030303030304,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
69,0.010921343092831416,0.0028762080073630927,0.06384676775738228,0.006749915626054675,0.04995491433724076,0.001376936316695353,0.02667844522968198,0.0036900369003690036,0.004730713245997089,0.0024449877750611247,0.0038115038115038116,0.005775577557755775,0.004238849981570218,0.004462625511342506,0.011931220025734005,0.004983057604145904,0.01782857142857143,0.0900431344356578,0.07307343608340888,0.12990621743660993,0.08307228216730479,0.05768877457284586,0.0944896449704142,0.06309611151870873,0.07431874483897605,0.009519688446559932,0.0017028522775649213,0.026220614828209764,0.05173699120322051,0.004207573632538569,0.005657093124456049,0.000888494002665482,0.01835820895522388,0.0008960573476702509,0.007391304347826087,0.0018124150430448573,0.011632068718682892,0.009243697478991597,0.016493585827733658,0.0061864781263809105,0.0026189436927106066,0.008122312470138558,0.0364741641337386,0.009458039333433418,0.07184292726461401,0.09799651567944251,0.047493403693931395,0.000689655172413793,0.008115419296663661,0.017504488330341114,0.049335049335049334,0.09466128308658592,0.01969036524875996,0.11424903722721438,0.02821316614420063,0.09034876728803368,0.04236513258153002,0.13628899835796388,0.080410225921522,0.03694299860352926,0.01832460732984293,0.00510204081632653,0.007894736842105263,0.008130081300813009,0.10787671232876712,0.0851063829787234,0.0026455026455026454,0.02099737532808399,0.09893048128342247,0.016713091922005572,0.00516795865633075,0.06933333333333333,0.05511811023622047,0.0064,0.004838709677419355,0.004658385093167702,0.10833333333333334,0.056910569105691054,0.004942339373970346,0.08471760797342193,0.1143317230273752,0.006514657980456026,0.0049261083743842365,0.010526315789473684,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.06666666666666667,0.09523809523809523,0.0,0.2,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0625,0.07142857142857142,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.14035087719298245,0.0892774965485504,0.012655341466195416,0.060917988525143435,0.11541929666366095,0.017096959265633965,0.011925795053003533,0.07822878228782287,0.07205240174672489,0.054721154965653745,0.008778008778008778,0.02838283828382838,0.04681164762255805,0.08906656749721086,0.003041291379108668,0.00518237990831174,0.0038857142857142857,0.005751258087706686,0.005802357207615594,0.0018524950793099456,0.00568511428239935,0.004041888664339519,0.004992603550295858,0.005685986793837124,0.03963666391412056,0.0199048031155344,0.05747126436781609,0.0981012658227848,0.022513791561055613,0.09396914446002805,0.144473455178416,0.02576632607729898,0.08373134328358209,0.0264336917562724,0.012608695652173913,0.06071590394200272,0.0370436649964209,0.13403361344537815,0.00916310323762981,0.10369715716600383,0.0759493670886076,0.008600095556617296,0.0026052974381241857,0.0522444077465846,0.00892458723784025,0.0008710801393728223,0.010407505130460275,0.022758620689655173,0.048993086865043584,0.004039497307001795,0.006864006864006864,0.00044863167339614175,0.019089132722080265,0.004706889174154899,0.0008956560680698612,0.012477450390859892,0.005943309966473636,0.010262725779967159,0.013079667063020214,0.05852481909356354,0.028795811518324606,0.00510204081632653,0.08421052631578947,0.11653116531165311,0.0547945205479452,0.07446808510638298,0.09788359788359788,0.007874015748031496,0.00267379679144385,0.011142061281337047,0.0103359173126615,0.016,0.006299212598425197,0.016,0.12419354838709677,0.05124223602484472,0.008333333333333333,0.0065040650406504065,0.060955518945634266,0.006644518272425249,0.10144927536231885,0.11726384364820847,0.006568144499178982,0.007017543859649123,0.08333333333333333,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.17647058823529413,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
-2,0.09201812478215406,0.09249884951679706,0.09063960779842663,0.0931488356395545,0.09395852119026149,0.09053356282271945,0.0881625441696113,0.0952029520295203,0.09497816593886463,0.08941669577366398,0.09182259182259182,0.09636963696369637,0.09380759307040176,0.09222759390107847,0.08878231372090303,0.09607335060793303,0.09074285714285714,0.09327821710999282,0.09392565729827743,0.09065647794373047,0.09119387399930386,0.09480066139996325,0.09393491124260354,0.09391049156272928,0.11684558216350124,0.08740804846386846,0.11919965942954448,0.08860759493670886,0.160429402117191,0.0822814399251987,0.1174934725848564,0.08529542425588628,0.16044776119402984,0.08691756272401434,0.11304347826086956,0.08699592206615316,0.1621331424481031,0.1180672268907563,0.1108735491753207,0.15878627191044337,0.11697948494107377,0.08552317247969422,0.116804168475901,0.16183756192763848,0.08656849620705043,0.08841463414634146,0.15889768396364704,0.12275862068965518,0.158551247370003,0.08572710951526032,0.11797511797511798,0.0870345446388515,0.16113031715015783,0.11553273427471117,0.08687863860277653,0.16055321707757064,0.1597074062785736,0.11412151067323481,0.15888822829964327,0.16008632728196015,0.1649214659685864,0.14795918367346939,0.15263157894736842,0.14905149051490515,0.1541095890410959,0.14361702127659576,0.14814814814814814,0.14960629921259844,0.1497326203208556,0.1532033426183844,0.14987080103359174,0.14666666666666667,0.10551181102362205,0.1072,0.10967741935483871,0.10714285714285714,0.105,0.10569105691056911,0.11037891268533773,0.10963455149501661,0.10628019323671498,0.10749185667752444,0.10837438423645321,0.10701754385964912,0.25,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.2,0.2857142857142857,0.23529411764705882,0.26666666666666666,0.2727272727272727,0.2857142857142857,0.23529411764705882,0.3076923076923077,0.26666666666666666,0.29411764705882354,0.25,0.21428571428571427,0.25,0.2777777777777778,0.2,0.2,0.2,0.2,0.2,0.16666666666666666,0.25,0.2,0.2,0.2,0.2,0.2,0.24242424242424243,0.24242424242424243,0.14285714285714285,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.23529411764705882,0.25,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
