,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
A#M,0.450952435,0.03879524,0.025510204,0.018362398,0.034904642,0,0.005394432,0.006110229,0.246192893,0.002261209,0.001715266,0.02617801,0.030382257,0.057335005,0.074750831,0.165484904,0.100952617,0.018229167,0.006437152,0.033265282,0.01025641,0.004121437,0.027801488,0,0.021052632,0.002547476,0.004058541,0.012953368,0.050303408,0.046384886,0.008130081,0.020588404,0.005757687,0.007518797,0.014639128,0.082607644,0.00511509
A#m,0.002566442,0.375061973,0.00255102,0.005774339,0.011514933,0.136476427,0.007308585,0.002077478,0.045685279,0.00748538,0.002374984,0,0.008068878,0.021201413,0.003322259,0.136150503,0.058517877,0.0078125,0.001092017,0.001441095,0.01025641,0.00365705,0.001707109,0,0.005263158,0.014474294,0.001598819,0.012953368,0.007826235,0.010415405,0,0.019384068,0.024255788,0,0.000907853,0.014755685,0.017902813
A#o,0.000399224,0.000991572,0.283163265,0.000230974,0.010555356,0.009925558,0.000522042,0.008432115,0.005076142,0.000233918,0.000131944,0,0,0.000683917,0,0.000171546,0.000123716,0,0.000287373,0.000480365,0,0.001683404,0,0,0,0,0,0,0.000340271,0.000363328,0,0.000286747,0.000490016,0,0.001078075,0,0.002557545
AM,0.005589141,0.006321269,0.237244898,0.45091812,0.037183639,0.022332506,0.032366589,0.056336307,0.002538071,0.007641326,0.03588864,0.015706806,0.005679769,0.004559444,0.07807309,0.004002745,0.026846468,0.015625,0.16345767,0.102918218,0.012820513,0.051024554,0.045970004,0,0.007894737,0.014184808,0.084737425,0.005181347,0.002438609,0.0038755,0.013550136,0.017892986,0.034913635,0,0.020256468,0.005805515,0.007672634
Am,0.007414167,0.002354983,0.045918367,0.002771683,0.381192275,0.00248139,0.003770302,0.019430527,0.002538071,0.000701754,0.001451379,0.020942408,0.010007212,0.005927277,0.00166113,0.003716834,0.001979463,0.005208333,0.138571182,0.061366639,0.007692308,0.008126778,0.010852335,0,0,0.000926355,0.015373263,0.018134715,0.015368911,0.001574422,0.013550136,0.005792281,0.011882886,0.137844612,0.019178393,0.024552492,0
Ao,0.000513288,0.008676252,0.005102041,0.000404204,0.000959578,0.287841191,0,0.000733227,0,0.000389864,0.000527774,0,0.00018031,0.000113986,0,0.001887008,0,0,0.000172424,0.000120091,0,0.000290242,0.000365809,0,0,0.001100046,0,0.002590674,0,0,0,0.000229397,0.010902854,0.010025063,0.000283704,0.000483793,0
BM,0.01807916,0.035572633,0,0.020210186,0.005877414,0.007444169,0.453074246,0.037272394,0.02284264,0.042417154,0.061485684,0.005235602,0.005138839,0.005927277,0.15448505,0.006461574,0.033774589,0.010416667,0.00666705,0.004443377,0.120512821,0.162129216,0.101329106,0,0.013157895,0.050544233,0.046242775,0.007772021,0.004139965,0.026159622,0.016260163,0.013821185,0.084037731,0.005012531,0.002439855,0.003870343,0.012787724
Bm,0.005646173,0.012270699,0.135204082,0.019344035,0.024349286,0,0.002668213,0.379567396,0.002538071,0.005146199,0.02058319,0.005235602,0.005679769,0.002165736,0.029900332,0.001029277,0.001484597,0.010416667,0.012242083,0.005884472,0.002564103,0.138039125,0.059139129,0,0.007894737,0.008047707,0.010822777,0,0.003516135,0.00193775,0.005420054,0.000917589,0.015312998,0.01754386,0.014922833,0.001451379,0.012787724
Bo,0.000228128,0.010907288,0.010204082,0.000288717,0.000359842,0,0.000174014,0.000977637,0.291878173,0,0.000395831,0,0.000405698,0.008662943,0.003322259,0.00028591,0.000494866,0,0.000172424,0.000120091,0,0.000174145,0.000121936,0,0,0.000289486,0.000368958,0,0.001701355,0,0,0.000974938,0,0.002506266,0,0,0
C#M,0.010379833,0.068046604,0.005102041,0.002309736,0.002998681,0.012406948,0.019431555,0.005132592,0.007614213,0.453333333,0.030478955,0.031413613,0.005950234,0.008548957,0,0.003945563,0.056414698,0,0.004942813,0.00288219,0.148717949,0.006037035,0.003901963,0,0.115789474,0.149258916,0.102078465,0.012953368,0.004536948,0.018771951,0.002710027,0.018982623,0.043978929,0.007518797,0.00283704,0.008103532,0.012787724
C#m,0.000513288,0.013758057,0.017857143,0.01449359,0.001559314,0.012406948,0.019431555,0.023952096,0,0.003508772,0.389233408,0,0.004237288,0.004901402,0.086378738,0.003259378,0.02016578,0.002604167,0.007184321,0.00096073,0.038461538,0.012306263,0.005731008,0,0.002631579,0.12581056,0.056942565,0.007772021,0.000737254,0.001695531,0.010840108,0.004759993,0.010412838,0,0.001872447,0.001088534,0.00511509
C#o,0.000342192,0,0,0,0,0,0.000290023,0.000366614,0,0.000545809,0.000395831,0.282722513,0.000135233,0.001139861,0.003322259,0,0.000742299,0,0.000517271,0.005404107,0.005128205,0.000116097,0.000121936,0,0,0.000173692,0.000122986,0,0,0,0,0.000114699,0.000367512,0,0.00141852,0,0
CM,0.024295654,0.022062469,0.007653061,0.014609077,0.086242053,0.004962779,0.019199536,0.035683735,0,0.002807018,0.005541628,0.382198953,0.461909484,0.070557392,0.051495017,0.035853156,0.007051837,0.125,0.032932927,0.060045635,0.08974359,0.007546294,0.034629923,0,0.010526316,0.017600741,0.029885623,0.018134715,0.167980491,0.116507206,0.010840108,0.034008144,0.006247703,0.012531328,0.051861099,0.066884373,0.007672634
Cm,0.019847154,0.026524541,0,0.001039381,0.015593139,0.017369727,0.006264501,0.012342662,0.139593909,0.000389864,0.001319435,0.015706806,0.007978723,0.375356207,0.031561462,0.012580055,0.006309539,0.002604167,0.003793321,0.020415516,0.007692308,0.001160968,0.001707109,0,0.010526316,0.01372163,0.002582708,0.005181347,0.137185958,0.060070243,0.002710027,0.017778288,0.002082568,0.012531328,0.009872901,0.01161103,0
Co,0.001140641,0.000495786,0.00255102,0.001097124,0,0.00248139,0.000116009,0.010998411,0.010152284,0.000701754,0.00897216,0.005235602,0.000586008,0.010714693,0.292358804,0.000171546,0.000123716,0,0,0.003842921,0,0.000290242,0.000487745,0,0,0.001679018,0,0,0.000453695,0.000726656,0,0.000172048,0,0,0.000283704,0.000362845,0
D#M,0.050074142,0.047471492,0.007653061,0.004330754,0.027467914,0.014888337,0.002552204,0.00427716,0.012690355,0.00460039,0.003430532,0.005235602,0.025288496,0.082069987,0.008305648,0.451967063,0.038104664,0.0234375,0.017932065,0.034826468,0,0.005514599,0.006218754,0,0.257894737,0.006831867,0.0044275,0.119170984,0.032325753,0.056558072,0.005420054,0.164477834,0.101555801,0.012531328,0.006752156,0.032293179,0.010230179
D#m,0.007813391,0.010287556,0,0.003522347,0.001919156,0.004962779,0.015313225,0.001588659,0.007614213,0.024717349,0.025597044,0,0.002253877,0.014476234,0.011627907,0.002801921,0.379190894,0.002604167,0.005747457,0.011528762,0.135897436,0.007256052,0.002194854,0,0.047368421,0.012216304,0.006149305,0.002590674,0.003516135,0.018529732,0.002710027,0.134312095,0.058311895,0.007518797,0.001021335,0.001451379,0.00511509
D#o,0.00028516,0.000371839,0,0.001616815,0,0,0,0,0,7.80E-05,0.000527774,0,0.000946628,0,0.00166113,0.000571821,0.000989732,0.2734375,0.000229898,0.010688123,0.012820513,0.000522436,0.008169735,0,0.005263158,0.000173692,0.000122986,0,0,0.000726656,0,0.000172048,0.000122504,0,0.000283704,0.000483793,0
DM,0.002395346,0.004090233,0.012755102,0.050698695,0.046779417,0.007444169,0.014385151,0.084198949,0.005076142,0.020350877,0.036812244,0,0.018662099,0.006041263,0.004983389,0.005317932,0.005938389,0.234375,0.450715558,0.038429206,0.023076923,0.032739305,0.057066211,0,0.002631579,0.006600278,0.032960275,0.005181347,0.006691998,0.004481046,0.124661247,0.004243849,0.026950876,0.01754386,0.161768044,0.104257378,0.012787724
Dm,0.015113494,0.001611304,0.012755102,0.008199561,0.011275039,0,0.000928074,0.01551998,0.017766497,0.002495127,0.008048555,0.057591623,0.018842409,0.026786732,0.071428571,0.007319305,0.001979463,0.046875,0.002701305,0.375405308,0.002564103,0.003773147,0.019265943,0,0.002631579,0.001042149,0.001721805,0.015544041,0.012136335,0.006055468,0.002710027,0.003613007,0.002205072,0.005012531,0.139525647,0.059385583,0.007672634
Do,0,0,0,0.000288717,0.000359842,0,0.001102088,0,0.002538071,0.000233918,0.01161103,0.010471204,0.000270465,0.00056993,0.003322259,0.000514639,0.008289002,0.005208333,0.000402322,0.000840639,0.284615385,0,0.000731618,0,0,0.000289486,0.000491944,0,0.000170136,0.000121109,0,0.00166313,0,0,0.000226963,0.000120948,0
EM,0.00416334,0.027020327,0.015306122,0.163356046,0.100755668,0.012406948,0.051218097,0.045948918,0.007614213,0.018947368,0.085367463,0.010471204,0.002208799,0.005015388,0.008305648,0.018069533,0.033650872,0,0.020288522,0.005884472,0.007692308,0.4515586,0.037190587,0,0.023684211,0.033580361,0.054974788,0.002590674,0.005671185,0.005934359,0.249322493,0.00670987,0.033321083,0.010025063,0.006525193,0.00411224,0.117647059
Em,0.003707083,0.001983143,0.005102041,0.137660238,0.05829435,0.007444169,0.007888631,0.010876207,0,0.001013645,0.015965167,0.036649215,0.012125856,0.001823777,0.008305648,0.005775389,0.012371644,0.143229167,0.019656302,0.024858893,0,0.002728275,0.377880746,0,0.002631579,0.003763316,0.01955479,0.002590674,0.007088981,0.002179969,0.043360434,0.001032288,0.001470048,0.010025063,0.012142533,0.006047412,0.002557545
End,0.000513288,0.000867625,0,0.000461947,0.000839631,0,0.000522042,0.000855432,0,0.000623782,0.000923605,0,0.000315543,0.000797903,0,0.000343092,0.000866015,0,0.00063222,0.000840639,0,0.000464387,0.000975491,1,0,0.00040528,0.000860903,0,0.000453695,0.000847766,0,0.000458795,0.000857528,0,0.000510667,0.000846638,0
Eo,0.001825026,0,0,0.00017323,0.000119947,0,0.000290023,0.000366614,0,0.001091618,0,0.005235602,0,0,0,0.000228728,0.01076333,0.005208333,0.000114949,0.000480365,0,0.000406339,0.000975491,0,0.271052632,0,0.000737917,0,0.000510407,0.009083202,0.005420054,0.000229397,0.000490016,0,0.000170222,0.000120948,0
F#M,0.006216494,0.033465543,0.010204082,0.00681372,0.004198153,0.11662531,0.162412993,0.102285225,0.005076142,0.063859649,0.049082992,0.010471204,0.005905157,0.026102815,0.009966777,0.01383806,0.083261165,0.005208333,0.002471406,0.004083103,0.012820513,0.020781332,0.006096817,0,0.005263158,0.452929597,0.037264789,0.023316062,0.017920944,0.034516168,0,0.032918507,0.058066887,0.002506266,0.005674081,0.005926463,0.237851662
